CMDLINE Z:\University_Year4\FlightForesight\server-ml\venv\Scripts\python.exe api.py
MEM 1.796875 1741836704.1311
MEM 8.269531 1741836704.2388
MEM 8.269531 1741836704.3497
MEM 8.269531 1741836704.4613
MEM 8.269531 1741836704.5685
MEM 8.269531 1741836704.6789
MEM 8.269531 1741836704.7898
MEM 8.269531 1741836704.8999
MEM 8.269531 1741836705.0096
MEM 8.269531 1741836705.1199
MEM 8.269531 1741836705.2295
MEM 8.269531 1741836705.3399
MEM 8.269531 1741836705.4494
MEM 8.269531 1741836705.5594
MEM 8.269531 1741836705.6693
MEM 8.269531 1741836705.7793
MEM 8.269531 1741836705.8879
MEM 8.269531 1741836705.9972
MEM 8.269531 1741836706.1064
MEM 8.269531 1741836706.2158
MEM 8.269531 1741836706.3247
MEM 8.269531 1741836706.4331
MEM 8.269531 1741836706.5418
MEM 8.269531 1741836706.6607
MEM 8.269531 1741836706.7634
MEM 8.269531 1741836706.8724
MEM 8.269531 1741836706.9833
MEM 8.269531 1741836707.0941
MEM 8.269531 1741836707.2027
MEM 8.269531 1741836707.3108
MEM 8.269531 1741836707.4200
MEM 8.269531 1741836707.5284
MEM 8.269531 1741836707.6381
MEM 8.269531 1741836707.7460
MEM 8.269531 1741836707.8549
MEM 8.269531 1741836707.9643
MEM 8.269531 1741836708.0732
MEM 8.269531 1741836708.1832
MEM 8.269531 1741836708.2915
MEM 8.269531 1741836708.4013
MEM 8.269531 1741836708.5139
MEM 8.269531 1741836708.6204
MEM 8.269531 1741836708.7397
MEM 8.269531 1741836708.8416
MEM 8.269531 1741836708.9517
MEM 8.269531 1741836709.0627
MEM 8.269531 1741836709.1735
MEM 8.269531 1741836709.2829
MEM 8.269531 1741836709.3929
MEM 8.269531 1741836709.5028
MEM 8.269531 1741836709.6128
MEM 8.269531 1741836709.7232
MEM 8.269531 1741836709.8305
MEM 8.269531 1741836709.9404
MEM 8.269531 1741836710.0496
MEM 8.269531 1741836710.1614
MEM 8.269531 1741836710.2712
MEM 8.269531 1741836710.3825
MEM 8.269531 1741836710.4937
MEM 8.269531 1741836710.6029
MEM 8.269531 1741836710.7132
MEM 8.269531 1741836710.8217
MEM 8.269531 1741836710.9287
MEM 8.269531 1741836711.0379
MEM 8.269531 1741836711.1497
MEM 8.269531 1741836711.2581
MEM 8.269531 1741836711.3681
MEM 8.269531 1741836711.4782
MEM 8.269531 1741836711.5862
MEM 8.269531 1741836711.6953
MEM 8.269531 1741836711.8039
MEM 8.269531 1741836711.9129
MEM 8.269531 1741836712.0224
MEM 8.269531 1741836712.1318
MEM 8.269531 1741836712.2435
MEM 8.269531 1741836712.3551
MEM 8.269531 1741836712.4636
MEM 8.269531 1741836712.5738
MEM 8.269531 1741836712.6853
MEM 8.269531 1741836712.7951
MEM 8.269531 1741836712.9048
MEM 8.269531 1741836713.0165
MEM 8.269531 1741836713.1276
MEM 8.269531 1741836713.2383
MEM 8.269531 1741836713.3491
MEM 8.269531 1741836713.4581
MEM 8.269531 1741836713.5675
MEM 8.269531 1741836713.6783
MEM 8.269531 1741836713.7889
MEM 8.269531 1741836713.8989
MEM 8.269531 1741836714.0106
MEM 8.269531 1741836714.1225
MEM 8.269531 1741836714.2337
MEM 8.269531 1741836714.3452
MEM 8.269531 1741836714.4568
MEM 8.269531 1741836714.5694
MEM 8.269531 1741836714.6791
MEM 8.269531 1741836714.7871
MEM 8.269531 1741836714.8982
MEM 8.269531 1741836715.0059
MEM 8.269531 1741836715.1154
MEM 8.269531 1741836715.2268
MEM 8.269531 1741836715.3369
MEM 8.269531 1741836715.4456
MEM 8.269531 1741836715.5540
MEM 8.269531 1741836715.6636
MEM 8.269531 1741836715.7732
MEM 8.269531 1741836715.8841
MEM 8.269531 1741836715.9953
MEM 8.269531 1741836716.1048
MEM 8.269531 1741836716.2152
MEM 8.269531 1741836716.3252
MEM 8.269531 1741836716.4351
MEM 8.269531 1741836716.5446
MEM 8.269531 1741836716.6529
MEM 8.269531 1741836716.7632
MEM 8.269531 1741836716.8732
MEM 8.269531 1741836716.9838
MEM 8.269531 1741836717.0946
MEM 8.269531 1741836717.2048
MEM 8.269531 1741836717.3138
MEM 8.269531 1741836717.4247
MEM 8.269531 1741836717.5357
MEM 8.269531 1741836717.6455
MEM 8.269531 1741836717.7554
MEM 8.269531 1741836717.8654
MEM 8.269531 1741836717.9759
MEM 8.269531 1741836718.0848
MEM 8.269531 1741836718.1938
MEM 8.269531 1741836718.3047
MEM 8.269531 1741836718.4153
MEM 8.269531 1741836718.5262
MEM 8.269531 1741836718.6374
MEM 8.269531 1741836718.7480
MEM 8.269531 1741836718.8589
MEM 8.269531 1741836718.9707
MEM 8.269531 1741836719.0803
MEM 8.269531 1741836719.1913
MEM 8.269531 1741836719.3031
MEM 8.269531 1741836719.4123
MEM 8.269531 1741836719.5223
MEM 8.269531 1741836719.6335
MEM 8.269531 1741836719.7434
MEM 8.269531 1741836719.8550
MEM 8.269531 1741836719.9659
MEM 8.269531 1741836720.0776
MEM 8.269531 1741836720.1882
MEM 8.269531 1741836720.2959
MEM 8.269531 1741836720.4075
MEM 8.269531 1741836720.5172
MEM 8.269531 1741836720.6287
MEM 8.269531 1741836720.7384
MEM 8.269531 1741836720.8463
MEM 8.269531 1741836720.9575
MEM 8.269531 1741836721.0692
MEM 8.269531 1741836721.1788
MEM 8.269531 1741836721.2875
MEM 8.269531 1741836721.3981
MEM 8.269531 1741836721.5097
MEM 8.269531 1741836721.6213
MEM 8.269531 1741836721.7324
MEM 8.269531 1741836721.8436
MEM 8.269531 1741836721.9542
MEM 8.269531 1741836722.0650
MEM 8.269531 1741836722.1761
MEM 8.269531 1741836722.2877
MEM 8.269531 1741836722.3974
MEM 8.269531 1741836722.5080
MEM 8.269531 1741836722.6198
MEM 8.269531 1741836722.7299
MEM 8.269531 1741836722.8405
MEM 8.269531 1741836722.9521
MEM 8.269531 1741836723.0638
MEM 8.269531 1741836723.1734
MEM 8.269531 1741836723.2850
MEM 8.269531 1741836723.3957
MEM 8.269531 1741836723.5073
MEM 8.269531 1741836723.6185
MEM 8.269531 1741836723.7286
MEM 8.269531 1741836723.8392
MEM 8.269531 1741836723.9489
MEM 8.269531 1741836724.0595
MEM 8.269531 1741836724.1712
MEM 8.269531 1741836724.2828
MEM 8.269531 1741836724.3920
MEM 8.269531 1741836724.5029
MEM 8.269531 1741836724.6118
MEM 8.269531 1741836724.7206
MEM 8.269531 1741836724.8303
MEM 8.269531 1741836724.9410
MEM 8.269531 1741836725.0521
MEM 8.269531 1741836725.1626
MEM 8.269531 1741836725.2722
MEM 8.269531 1741836725.3831
MEM 8.269531 1741836725.4930
